speed,direction
12.50,118.04
12.50,88.58
12.50,128.08
12.50,121.58
12.50,40.76
12.50,125.51
12.50,121.88
12.50,113.32
12.50,126.38
12.50,131.47
12.50,92.09
12.50,290.93
12.50,91.11
12.50,115.22
12.50,92.58
12.50,71.74
12.50,90.12
12.50,95.26
12.50,123.73
12.50,127.09
12.50,117.62
12.50,72.85
12.50,118.71
12.50,135.48
12.50,104.67
12.50,99.40
12.50,100.74
12.50,121.03
12.50,80.11
12.50,124.73
12.50,96.18
12.50,143.39
12.50,95.99
12.49,340.31
12.49,33.44
12.49,307.63
12.45,311.75
12.45,107.14
12.44,127.52
12.43,298.46
12.43,50.19
12.42,348.93
12.41,348.85
12.41,129.51
12.40,117.22
12.40,123.69
12.40,116.04
12.40,108.67
12.40,104.24
12.40,123.36
12.40,110.81
12.40,122.36
12.40,27.23
12.40,99.55
12.40,106.60
12.40,27.88
12.40,119.46
12.40,129.21
12.40,97.51
12.40,94.13
12.40,95.92
12.40,104.18
12.40,304.48
12.40,129.37
12.40,113.24
12.40,62.20
12.40,100.42
12.40,106.45
12.40,135.27
12.40,87.86
12.40,81.79
12.40,117.36
12.40,90.05
12.40,100.43
12.40,100.41
12.40,90.70
12.40,123.84
12.40,110.69
12.40,119.00
12.40,119.26
12.40,112.91
12.40,105.00
12.40,121.01
12.40,108.31
12.40,118.78
12.40,127.10
12.40,127.79
12.39,125.73
12.36,87.34
12.35,118.28
12.34,106.84
12.33,125.34
12.32,119.94
12.31,126.74
12.31,240.27
12.30,144.26
12.30,115.62
12.30,121.70
12.30,320.01
12.30,122.93
12.30,132.24
12.30,65.96
12.30,125.02
12.30,130.43
12.30,118.04
12.30,330.88
12.30,122.36
12.30,126.37
12.30,338.19
12.30,123.59
12.30,127.31
12.30,129.99
12.30,325.49
12.30,315.94
12.30,327.57
12.30,95.72
12.30,52.26
12.30,56.91
12.30,99.91
12.30,119.59
12.30,76.31
12.30,119.40
12.30,91.17
12.30,76.88
12.30,312.54
12.30,119.20
12.30,113.77
12.30,114.94
